country_name,country_code,capital_city,rural_population_percent,urban_population_percent,country_id
Antigua and Barbuda,ATG,Saint John's,75.662,24.338,1
Bhutan,BTN,Thimphu,55.0,45.0,2
Italy,ITA,Rome,27.708,72.292,3
Tuvalu,TUV,Funafuti,33.072,66.928,4
Australia,AUS,Canberra,13.25,86.75,5
Belize,BLZ,Belmopan,53.162,46.838,6
Vanuatu,VUT,Port Vila,73.853,26.147,7
Belarus,BLR,Minsk,18.875,81.125,8
Mauritius,MUS,Port Louis,59.056,40.944,9
Laos,LAO,Vientiane,61.094,38.906,10
Senegal,SEN,Dakar,49.92,50.08,11
Turkey,TUR,Ankara,22.107,77.893,12
Bolivia,BOL,Sucre,28.455,71.545,13
Sri Lanka,LKA,Sri Jayawardenepura Kotte,80.584,19.416,14
China,CHN,Beijing,34.456,65.544,15
Sudan,SDN,Khartoum,63.248,36.752,16
Turks and Caicos Islands,TCA,Cockburn Town,5.56699999999999,94.433,17
Curaçao,CUW,Willemstad,10.967,89.033,18
Botswana,BWA,Gaborone,26.51,73.49,19
Benin,BEN,Porto-Novo,49.331,50.669,20
Lithuania,LTU,Vilnius,31.064,68.936,21
British Virgin Islands,VGB,Road Town,49.829,50.171,22
Burundi,BDI,Gitega,84.84,15.16,23
Ireland,IRL,Dublin,35.24,64.76,24
Solomon Islands,SLB,Honiara,73.512,26.488,25
Bermuda,BMU,Hamilton,0.0,100.0,26
Finland,FIN,Helsinki,14.128,85.872,27
Peru,PER,Lima,20.861,79.139,28
Bangladesh,BGD,Dhaka,58.77,41.23,29
Denmark,DNK,Copenhagen,11.374,88.626,30
Saint Vincent and the Grenadines,VCT,Kingstown,45.275,54.725,31
Dominican Republic,DOM,Santo Domingo,14.989,85.011,32
Moldova,MDA,Chișinău,56.401,43.599,33
Bulgaria,BGR,Sofia,22.963,77.037,34
Costa Rica,CRI,San José,16.833,83.167,35
Namibia,NAM,Windhoek,44.205,55.795,36
Luxembourg,LUX,Luxembourg,7.73399999999999,92.266,37
Russia,RUS,Moscow,24.452,75.548,38
United Arab Emirates,ARE,Abu Dhabi,11.992,88.008,39
Sint Maarten,SXM,Philipsburg,0.0,100.0,40
Bahamas,BHS,Nassau,16.236,83.764,41
Japan,JPN,Tokyo,7.866,92.134,42
Nigeria,NGA,Abuja,44.97,55.03,43
Ghana,GHA,Accra,40.146,59.854,44
Sierra Leone,SLE,Freetown,55.221,44.779,45
Albania,ALB,Tirana,34.62,65.38,46
Tonga,TON,Nuku'alofa,76.79,23.21,47
Turkmenistan,TKM,Ashgabat,45.476,54.524,48
Djibouti,DJI,Djibouti,21.268,78.732,49
Central African Republic,CAF,Bangui,55.87,44.13,50
Lebanon,LBN,Beirut,10.397,89.603,51
Latvia,LVA,Riga,31.185,68.815,52
Gambia,GMB,Banjul,34.92,65.08,53
Honduras,HND,Tegucigalpa,39.182,60.818,54
Mauritania,MRT,Nouakchott,41.542,58.458,55
French Polynesia,PYF,Papeetē,37.58,62.42,56
