year,percentage,gender,country_id,enrollment_abroad_id
2001,5.342,Male,94.0,EAB0001
2002,11.5139,Male,94.0,EAB0002
2003,5.3314,Male,94.0,EAB0003
2004,8.7788,Male,94.0,EAB0004
2005,5.4321,Male,94.0,EAB0005
2006,6.1724,Male,94.0,EAB0006
2007,5.5642,Male,94.0,EAB0007
2008,4.0994,Male,94.0,EAB0008
2009,7.9798,Male,94.0,EAB0009
2010,15.3348,Male,94.0,EAB0010
2011,6.2501,Male,94.0,EAB0011
2012,5.0081,Male,94.0,EAB0012
2013,4.7684,Male,94.0,EAB0013
2014,4.7815,Male,94.0,EAB0014
2015,4.5215,Male,94.0,EAB0015
2016,4.8778,Male,94.0,EAB0016
2017,4.8387,Male,94.0,EAB0017
2018,7.9428,Male,94.0,EAB0018
2019,7.3604,Male,94.0,EAB0019
2020,10.8284,Male,94.0,EAB0020
2021,7.2063,Male,94.0,EAB0021
2022,7.1842,Male,94.0,EAB0022
2023,6.1635,Male,94.0,EAB0023
2000,0.2699,Male,133.0,EAB0024
2001,0.277,Male,133.0,EAB0025
2002,0.2806,Male,133.0,EAB0026
2003,0.2623,Male,133.0,EAB0027
2004,0.2578,Male,133.0,EAB0028
2005,0.285,Male,133.0,EAB0029
2006,0.3146,Male,133.0,EAB0030
2007,0.3472,Male,133.0,EAB0031
2008,0.3938,Male,133.0,EAB0032
2009,0.4487,Male,133.0,EAB0033
2010,0.6074,Male,133.0,EAB0034
2011,0.7007,Male,133.0,EAB0035
2012,0.4884,Male,133.0,EAB0036
2013,0.6076,Male,133.0,EAB0037
2014,0.8102,Male,133.0,EAB0038
2015,0.9709,Male,133.0,EAB0039
2016,1.0967,Male,133.0,EAB0040
2017,1.1038,Male,133.0,EAB0041
2018,1.0867,Male,133.0,EAB0042
2019,1.0971,Male,133.0,EAB0043
2020,1.1428,Male,133.0,EAB0044
2021,1.13,Male,133.0,EAB0045
2022,1.0893,Male,133.0,EAB0046
2023,1.0919,Male,133.0,EAB0047
2000,0.869,Male,185.0,EAB0048
2001,0.904,Male,185.0,EAB0049
2002,0.8925,Male,185.0,EAB0050
