institution_type,year,enrollment_percentage,field_id,country_id,enrollment_id
Government dependent private educational institutions,2022,54.6295,F001,58.0,ENR0001
Government dependent private educational institutions,2022,58.6359,F002,58.0,ENR0002
Government dependent private educational institutions,2022,60.484,F003,58.0,ENR0003
Government dependent private educational institutions,2022,41.5049,F004,58.0,ENR0004
Government dependent private educational institutions,2022,2.483,F001,71.0,ENR0005
Government dependent private educational institutions,2022,17.1863,F002,71.0,ENR0006
Government dependent private educational institutions,2022,19.8274,F003,71.0,ENR0007
Government dependent private educational institutions,2022,44.5031,F004,71.0,ENR0008
Government dependent private educational institutions,2022,18.6441,F001,168.0,ENR0009
Government dependent private educational institutions,2022,3.623,F002,168.0,ENR0010
Government dependent private educational institutions,2022,1.7782,F001,30.0,ENR0011
Government dependent private educational institutions,2022,0.1983,F002,30.0,ENR0012
Government dependent private educational institutions,2022,62.9019,F002,27.0,ENR0013
Government dependent private educational institutions,2022,23.0465,F003,27.0,ENR0014
Government dependent private educational institutions,2022,10.3822,F001,179.0,ENR0015
Government dependent private educational institutions,2022,1.3627,F002,179.0,ENR0016
Government dependent private educational institutions,2022,0.3725,F003,179.0,ENR0017
Government dependent private educational institutions,2022,9.8026,F001,202.0,ENR0018
Government dependent private educational institutions,2022,9.7137,F002,202.0,ENR0019
Government dependent private educational institutions,2022,12.1864,F003,202.0,ENR0020
Government dependent private educational institutions,2022,5.3617,F004,202.0,ENR0021
Government dependent private educational institutions,2022,23.0114,F001,106.0,ENR0022
Government dependent private educational institutions,2022,21.6902,F002,106.0,ENR0023
Government dependent private educational institutions,2022,21.1828,F003,106.0,ENR0024
Government dependent private educational institutions,2022,12.596,F004,106.0,ENR0025
Government dependent private educational institutions,2022,52.8897,F001,74.0,ENR0026
Government dependent private educational institutions,2022,74.9202,F002,74.0,ENR0027
Government dependent private educational institutions,2022,70.0265,F003,74.0,ENR0028
Government dependent private educational institutions,2022,28.3254,F001,52.0,ENR0029
Government dependent private educational institutions,2022,76.0102,F002,52.0,ENR0030
Government dependent private educational institutions,2022,86.6888,F003,52.0,ENR0031
Government dependent private educational institutions,2022,88.435,F004,52.0,ENR0032
Government dependent private educational institutions,2022,28.758,F001,76.0,ENR0033
Government dependent private educational institutions,2022,4.8371,F002,76.0,ENR0034
Government dependent private educational institutions,2022,4.0564,F003,76.0,ENR0035
Government dependent private educational institutions,2022,33.834,F001,69.0,ENR0036
Government dependent private educational institutions,2022,6.9545,F002,69.0,ENR0037
Government dependent private educational institutions,2022,3.4212,F003,69.0,ENR0038
Government dependent private educational institutions,2022,1.4384,F004,69.0,ENR0039
Government dependent private educational institutions,2022,5.282,F001,107.0,ENR0040
Government dependent private educational institutions,2022,8.0924,F002,107.0,ENR0041
Government dependent private educational institutions,2022,5.7176,F003,107.0,ENR0042
Government dependent private educational institutions,2022,5.7011,F004,107.0,ENR0043
Government dependent private educational institutions,2022,9.1424,F001,182.0,ENR0044
Government dependent private educational institutions,2022,68.0839,F001,127.0,ENR0045
Government dependent private educational institutions,2022,5.0979,F002,127.0,ENR0046
Government dependent private educational institutions,2022,8.0713,F003,127.0,ENR0047
Government dependent private educational institutions,2022,7.4992,F004,127.0,ENR0048
Government dependent private educational institutions,2022,36.7133,F001,156.0,ENR0049
Government dependent private educational institutions,2022,10.1774,F002,156.0,ENR0050
Government dependent private educational institutions,2022,2.9494,F003,156.0,ENR0051
Government dependent private educational institutions,2022,1.3129,F004,156.0,ENR0052
Government dependent private educational institutions,2022,0.1508,F002,28.0,ENR0053
Independent private educational institutions,2022,0.3478,F003,58.0,ENR0054
Independent private educational institutions,2022,92.1438,F001,71.0,ENR0055
Independent private educational institutions,2022,62.9249,F002,71.0,ENR0056
Independent private educational institutions,2022,60.5737,F003,71.0,ENR0057
Independent private educational institutions,2022,16.2464,F004,71.0,ENR0058
Independent private educational institutions,2022,17.1238,F001,72.0,ENR0059
Independent private educational institutions,2022,54.454,F002,72.0,ENR0060
Independent private educational institutions,2022,79.3561,F003,72.0,ENR0061
Independent private educational institutions,2022,49.8717,F004,72.0,ENR0062
Independent private educational institutions,2022,9.7281,F002,168.0,ENR0063
Independent private educational institutions,2022,5.2226,F003,168.0,ENR0064
Independent private educational institutions,2022,0.3892,F004,168.0,ENR0065
Independent private educational institutions,2022,0.148,F001,30.0,ENR0066
Independent private educational institutions,2022,0.0668,F002,30.0,ENR0067
Independent private educational institutions,2022,8.5449,F002,153.0,ENR0068
Independent private educational institutions,2022,2.4934,F003,153.0,ENR0069
Independent private educational institutions,2022,1.921,F004,153.0,ENR0070
Independent private educational institutions,2022,34.3111,F001,179.0,ENR0071
Independent private educational institutions,2022,12.5613,F002,179.0,ENR0072
Independent private educational institutions,2022,31.528,F003,179.0,ENR0073
Independent private educational institutions,2022,1.2866,F004,179.0,ENR0074
Independent private educational institutions,2022,87.9391,F001,202.0,ENR0075
Independent private educational institutions,2022,68.7136,F002,202.0,ENR0076
Independent private educational institutions,2022,62.9651,F003,202.0,ENR0077
Independent private educational institutions,2022,64.4263,F004,202.0,ENR0078
Independent private educational institutions,2022,0.5108,F001,24.0,ENR0079
Independent private educational institutions,2022,2.0186,F002,24.0,ENR0080
Independent private educational institutions,2022,4.5058,F003,24.0,ENR0081
Independent private educational institutions,2022,0.0996,F004,24.0,ENR0082
Independent private educational institutions,2022,13.6206,F002,74.0,ENR0083
Independent private educational institutions,2022,16.4382,F003,74.0,ENR0084
Independent private educational institutions,2022,21.8403,F002,3.0,ENR0085
Independent private educational institutions,2022,16.4637,F003,3.0,ENR0086
Independent private educational institutions,2022,4.8801,F004,3.0,ENR0087
Independent private educational institutions,2022,93.1441,F001,42.0,ENR0088
Independent private educational institutions,2022,80.2655,F002,42.0,ENR0089
Independent private educational institutions,2022,52.5066,F003,42.0,ENR0090
Independent private educational institutions,2022,27.9088,F004,42.0,ENR0091
Independent private educational institutions,2022,97.795,F001,63.0,ENR0092
Independent private educational institutions,2022,77.5968,F002,63.0,ENR0093
Independent private educational institutions,2022,69.6545,F003,63.0,ENR0094
Independent private educational institutions,2022,63.8001,F004,63.0,ENR0095
Independent private educational institutions,2022,33.1707,F001,52.0,ENR0096
Independent private educational institutions,2022,23.9898,F002,52.0,ENR0097
Independent private educational institutions,2022,13.3112,F003,52.0,ENR0098
Independent private educational institutions,2022,11.565,F004,52.0,ENR0099
Independent private educational institutions,2022,15.2223,F002,21.0,ENR0100
Independent private educational institutions,2022,5.4821,F003,21.0,ENR0101
Independent private educational institutions,2022,1.2044,F004,21.0,ENR0102
Independent private educational institutions,2022,4.0025,F001,203.0,ENR0103
Independent private educational institutions,2022,34.3275,F002,203.0,ENR0104
Independent private educational institutions,2022,65.6377,F003,203.0,ENR0105
Independent private educational institutions,2022,51.1375,F004,203.0,ENR0106
Independent private educational institutions,2022,51.4442,F001,87.0,ENR0107
Independent private educational institutions,2022,6.9635,F002,87.0,ENR0108
Independent private educational institutions,2022,30.1291,F003,87.0,ENR0109
Independent private educational institutions,2022,0.9481,F001,76.0,ENR0110
Independent private educational institutions,2022,0.0018,F002,76.0,ENR0111
Independent private educational institutions,2022,16.7052,F002,69.0,ENR0112
Independent private educational institutions,2022,3.5438,F003,69.0,ENR0113
Independent private educational institutions,2022,0.935,F004,69.0,ENR0114
Independent private educational institutions,2022,80.5195,F001,114.0,ENR0115
Independent private educational institutions,2022,36.2609,F002,114.0,ENR0116
Independent private educational institutions,2022,31.5686,F003,114.0,ENR0117
Independent private educational institutions,2022,5.1383,F004,114.0,ENR0118
Independent private educational institutions,2022,23.075,F001,139.0,ENR0119
Independent private educational institutions,2022,21.0159,F002,139.0,ENR0120
Independent private educational institutions,2022,16.3629,F003,139.0,ENR0121
Independent private educational institutions,2022,7.0458,F004,139.0,ENR0122
Independent private educational institutions,2022,27.1538,F001,107.0,ENR0123
Independent private educational institutions,2022,11.006,F002,107.0,ENR0124
Independent private educational institutions,2022,4.6944,F003,107.0,ENR0125
Independent private educational institutions,2022,12.8419,F004,107.0,ENR0126
Independent private educational institutions,2022,25.966,F001,182.0,ENR0127
Independent private educational institutions,2022,21.9722,F002,182.0,ENR0128
Independent private educational institutions,2022,39.2024,F003,182.0,ENR0129
Independent private educational institutions,2022,6.2609,F004,182.0,ENR0130
Independent private educational institutions,2022,5.1387,F001,127.0,ENR0131
Independent private educational institutions,2022,51.0198,F001,156.0,ENR0132
Independent private educational institutions,2022,10.6138,F002,156.0,ENR0133
Independent private educational institutions,2022,2.5807,F003,156.0,ENR0134
Independent private educational institutions,2022,7.404,F001,148.0,ENR0135
Independent private educational institutions,2022,32.6528,F002,148.0,ENR0136
Independent private educational institutions,2022,51.0916,F003,148.0,ENR0137
Independent private educational institutions,2022,43.1215,F004,148.0,ENR0138
Independent private educational institutions,2022,54.5279,F001,161.0,ENR0139
Independent private educational institutions,2022,78.0114,F002,161.0,ENR0140
Independent private educational institutions,2022,15.8404,F003,161.0,ENR0141
Independent private educational institutions,2022,12.4093,F004,161.0,ENR0142
Independent private educational institutions,2022,13.6418,F002,34.0,ENR0143
Independent private educational institutions,2022,9.4242,F003,34.0,ENR0144
Independent private educational institutions,2022,4.2648,F004,34.0,ENR0145
Independent private educational institutions,2022,12.3425,F002,85.0,ENR0146
Independent private educational institutions,2022,5.2211,F003,85.0,ENR0147
Independent private educational institutions,2022,2.0736,F004,85.0,ENR0148
Independent private educational institutions,2022,97.7013,F001,28.0,ENR0149
Independent private educational institutions,2022,72.2758,F002,28.0,ENR0150
Independent private educational institutions,2022,88.6861,F003,28.0,ENR0151
Independent private educational institutions,2022,14.4102,F002,205.0,ENR0152
Independent private educational institutions,2022,9.038,F003,205.0,ENR0153
Independent private educational institutions,2022,1.3262,F004,205.0,ENR0154
Private educational institutions,2022,71.0861,F001,5.0,ENR0155
Private educational institutions,2022,9.1476,F002,5.0,ENR0156
Private educational institutions,2022,12.3266,F003,5.0,ENR0157
Private educational institutions,2022,1.5758,F004,5.0,ENR0158
Private educational institutions,2022,20.9798,F001,169.0,ENR0159
Private educational institutions,2022,26.5519,F002,169.0,ENR0160
Private educational institutions,2022,23.6356,F003,169.0,ENR0161
Private educational institutions,2022,4.8725,F004,169.0,ENR0162
Private educational institutions,2022,54.6295,F001,58.0,ENR0163
Private educational institutions,2022,58.6359,F002,58.0,ENR0164
Private educational institutions,2022,60.8318,F003,58.0,ENR0165
Private educational institutions,2022,41.5049,F004,58.0,ENR0166
Private educational institutions,2022,94.6268,F001,71.0,ENR0167
Private educational institutions,2022,80.1112,F002,71.0,ENR0168
Private educational institutions,2022,80.4011,F003,71.0,ENR0169
Private educational institutions,2022,60.7495,F004,71.0,ENR0170
Private educational institutions,2022,17.1238,F001,72.0,ENR0171
Private educational institutions,2022,54.454,F002,72.0,ENR0172
Private educational institutions,2022,79.3561,F003,72.0,ENR0173
Private educational institutions,2022,49.8717,F004,72.0,ENR0174
Private educational institutions,2022,18.6441,F001,168.0,ENR0175
Private educational institutions,2022,13.351,F002,168.0,ENR0176
Private educational institutions,2022,5.2226,F003,168.0,ENR0177
Private educational institutions,2022,0.3892,F004,168.0,ENR0178
Private educational institutions,2022,1.9262,F001,30.0,ENR0179
Private educational institutions,2022,0.265,F002,30.0,ENR0180
Private educational institutions,2022,8.5449,F002,153.0,ENR0181
Private educational institutions,2022,2.4934,F003,153.0,ENR0182
Private educational institutions,2022,1.921,F004,153.0,ENR0183
Private educational institutions,2022,62.9019,F002,27.0,ENR0184
Private educational institutions,2022,23.0465,F003,27.0,ENR0185
Private educational institutions,2022,44.6933,F001,179.0,ENR0186
Private educational institutions,2022,13.924,F002,179.0,ENR0187
Private educational institutions,2022,31.9005,F003,179.0,ENR0188
Private educational institutions,2022,1.2866,F004,179.0,ENR0189
Private educational institutions,2022,93.8172,F001,75.0,ENR0190
Private educational institutions,2022,23.8665,F002,75.0,ENR0191
