year,percentage,gender,country_id,graduation_id
2001,1.6,Male,94.0,GRD0001
2002,2.2044,Male,94.0,GRD0002
2003,0.8197,Male,94.0,GRD0003
2004,1.4799,Male,94.0,GRD0004
2005,0.9881,Male,94.0,GRD0005
2006,2.3483,Male,94.0,GRD0006
2007,5.1002,Male,94.0,GRD0007
2008,3.3688,Male,94.0,GRD0008
2009,1.1257,Male,94.0,GRD0009
2010,2.5362,Male,94.0,GRD0010
2011,6.0914,Male,94.0,GRD0011
2012,6.3209,Male,94.0,GRD0012
2014,6.2701,Male,94.0,GRD0013
2018,14.7569,Male,133.0,GRD0014
2020,15.9433,Male,133.0,GRD0015
2023,5.0291,Male,185.0,GRD0016
2003,6.6488,Male,46.0,GRD0017
2011,18.8511,Male,46.0,GRD0018
2012,24.2757,Male,46.0,GRD0019
2013,28.0048,Male,46.0,GRD0020
2014,25.1248,Male,46.0,GRD0021
2015,28.1946,Male,46.0,GRD0022
2016,27.2383,Male,46.0,GRD0023
2017,30.0263,Male,46.0,GRD0024
2018,33.4346,Male,46.0,GRD0025
2019,30.2862,Male,46.0,GRD0026
2020,30.0578,Male,46.0,GRD0027
2021,28.8617,Male,46.0,GRD0028
2022,27.9931,Male,46.0,GRD0029
2023,31.194,Male,46.0,GRD0030
2024,43.4025,Male,46.0,GRD0031
2002,0.0,Male,134.0,GRD0032
2003,0.0,Male,134.0,GRD0033
2004,0.4843,Male,134.0,GRD0034
2005,0.4264,Male,134.0,GRD0035
2006,0.5894,Male,134.0,GRD0036
2008,0.8386,Male,134.0,GRD0037
2012,4.1769,Male,134.0,GRD0038
2013,4.4386,Male,134.0,GRD0039
2014,6.2842,Male,134.0,GRD0040
2015,3.6855,Male,134.0,GRD0041
2016,4.0,Male,134.0,GRD0042
2017,3.3248,Male,134.0,GRD0043
2018,6.5882,Male,134.0,GRD0044
2019,5.679,Male,134.0,GRD0045
2020,7.8,Male,134.0,GRD0046
2021,6.3205,Male,134.0,GRD0047
2022,7.113,Male,134.0,GRD0048
2023,11.4519,Male,134.0,GRD0049
2024,38.1974,Male,134.0,GRD0050
2001,8.0698,Male,109.0,GRD0051
2002,7.0453,Male,109.0,GRD0052
2003,9.2983,Male,109.0,GRD0053
2004,9.6931,Male,109.0,GRD0054
2006,11.1866,Male,109.0,GRD0055
2007,8.7487,Male,109.0,GRD0056
2008,9.2557,Male,109.0,GRD0057
2009,9.48,Male,109.0,GRD0058
2018,3.4651,Male,109.0,GRD0059
2019,11.8387,Male,109.0,GRD0060
2020,10.1421,Male,109.0,GRD0061
2021,9.3381,Male,109.0,GRD0062
2022,17.1308,Male,109.0,GRD0063
2023,9.07,Male,109.0,GRD0064
2001,16.6117,Male,162.0,GRD0065
2002,17.4215,Male,162.0,GRD0066
2003,16.6839,Male,162.0,GRD0067
2004,19.1525,Male,162.0,GRD0068
2005,19.6946,Male,162.0,GRD0069
2006,21.2254,Male,162.0,GRD0070
2007,22.5642,Male,162.0,GRD0071
2008,25.844,Male,162.0,GRD0072
2009,38.3982,Male,162.0,GRD0073
2010,35.7216,Male,162.0,GRD0074
2011,38.9925,Male,162.0,GRD0075
2012,40.6265,Male,162.0,GRD0076
2013,40.1553,Male,162.0,GRD0077
2014,37.5582,Male,162.0,GRD0078
2015,32.6829,Male,162.0,GRD0079
2016,29.1506,Male,162.0,GRD0080
2017,41.464,Male,162.0,GRD0081
2018,36.7165,Male,162.0,GRD0082
2019,33.855,Male,162.0,GRD0083
2020,36.2911,Male,162.0,GRD0084
2021,39.6275,Male,162.0,GRD0085
2022,44.424,Male,162.0,GRD0086
2023,33.8721,Male,162.0,GRD0087
2024,30.3276,Male,162.0,GRD0088
2009,0.2972,Male,1.0,GRD0089
2010,0.5943,Male,1.0,GRD0090
2011,0.4425,Male,1.0,GRD0091
2012,0.6983,Male,1.0,GRD0092
2000,42.9517,Male,5.0,GRD0093
2001,45.1478,Male,5.0,GRD0094
2002,48.5665,Male,5.0,GRD0095
2003,38.2946,Male,5.0,GRD0096
2005,49.5586,Male,5.0,GRD0097
2006,48.8994,Male,5.0,GRD0098
2007,48.1971,Male,5.0,GRD0099
2008,48.4523,Male,5.0,GRD0100
2009,49.0611,Male,5.0,GRD0101
2010,49.5379,Male,5.0,GRD0102
2011,51.8005,Male,5.0,GRD0103
2013,62.6178,Male,5.0,GRD0104
2014,62.6365,Male,5.0,GRD0105
2015,47.9895,Male,5.0,GRD0106
2017,49.1455,Male,5.0,GRD0107
2018,50.3467,Male,5.0,GRD0108
2019,50.2453,Male,5.0,GRD0109
2020,51.698,Male,5.0,GRD0110
2021,57.9416,Male,5.0,GRD0111
2022,57.6236,Male,5.0,GRD0112
2023,52.9775,Male,5.0,GRD0113
2013,28.936,Male,169.0,GRD0114
2014,26.9564,Male,169.0,GRD0115
2015,27.0904,Male,169.0,GRD0116
2016,27.3551,Male,169.0,GRD0117
2018,27.0817,Male,169.0,GRD0118
2019,28.3404,Male,169.0,GRD0119
2020,29.8576,Male,169.0,GRD0120
2021,32.5604,Male,169.0,GRD0121
2022,29.9107,Male,169.0,GRD0122
2023,30.1622,Male,169.0,GRD0123
2000,15.2901,Male,110.0,GRD0124
2001,18.9219,Male,110.0,GRD0125
2002,16.9394,Male,110.0,GRD0126
2003,19.4183,Male,110.0,GRD0127
2004,18.9921,Male,110.0,GRD0128
2005,19.5623,Male,110.0,GRD0129
2008,17.1007,Male,110.0,GRD0130
2009,17.7261,Male,110.0,GRD0131
2010,18.0989,Male,110.0,GRD0132
2011,16.8645,Male,110.0,GRD0133
2012,16.5773,Male,110.0,GRD0134
2013,18.0942,Male,110.0,GRD0135
2014,18.6254,Male,110.0,GRD0136
2015,16.0271,Male,110.0,GRD0137
2016,17.3962,Male,110.0,GRD0138
2017,17.4348,Male,110.0,GRD0139
2018,19.6793,Male,110.0,GRD0140
2019,20.8968,Male,110.0,GRD0141
2020,24.2688,Male,110.0,GRD0142
2021,25.3512,Male,110.0,GRD0143
2022,28.0712,Male,110.0,GRD0144
2023,31.8456,Male,110.0,GRD0145
2024,30.6935,Male,110.0,GRD0146
2001,0.7135,Male,23.0,GRD0147
2003,0.5599,Male,23.0,GRD0148
2004,0.7796,Male,23.0,GRD0149
2013,4.4911,Male,23.0,GRD0150
2014,5.7516,Male,23.0,GRD0151
2001,18.2009,Male,58.0,GRD0152
2002,18.3765,Male,58.0,GRD0153
2006,18.6337,Male,58.0,GRD0154
2008,25.5136,Male,58.0,GRD0155
2009,16.9694,Male,58.0,GRD0156
2010,17.7249,Male,58.0,GRD0157
2011,16.0603,Male,58.0,GRD0158
2012,16.3962,Male,58.0,GRD0159
2013,34.0107,Male,58.0,GRD0160
2014,33.9108,Male,58.0,GRD0161
2016,22.6494,Male,58.0,GRD0162
2017,23.1603,Male,58.0,GRD0163
2018,38.9804,Male,58.0,GRD0164
2019,38.6492,Male,58.0,GRD0165
2020,42.438,Male,58.0,GRD0166
2021,39.5686,Male,58.0,GRD0167
2022,36.8522,Male,58.0,GRD0168
2023,37.084,Male,58.0,GRD0169
2008,2.8533,Male,121.0,GRD0170
2018,1.7824,Male,121.0,GRD0171
2019,2.2663,Male,121.0,GRD0172
2020,2.4729,Male,121.0,GRD0173
2021,3.7131,Male,121.0,GRD0174
