research_id,institution_id,total_citations,international_collaboration,top_paper_title,top_paper_doi
1,I4210108322,801215,2,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,https://doi.org/10.1585/pfr.15.2402039
2,I4210108322,1873,4,Zonal flows in plasma—a review,https://doi.org/10.1088/0741-3335/47/5/r01
3,I4210108322,838,23,Suppression of Large Edge-Localized Modes in High-Confinement DIII-D Plasmas with a Stochastic Magnetic Boundary,https://doi.org/10.1103/physrevlett.92.235003
4,I4210108322,799,30,Chapter 1: Overview and summary,https://doi.org/10.1088/0029-5515/47/6/s01
5,I4210108322,724,2,ENERGY DEPENDENCE OF ION-INDUCED SPUTTERING YIELDS FROM MONATOMIC SOLIDS AT NORMAL INCIDENCE,https://doi.org/10.1006/adnd.1996.0005
6,I1294671590,27771,33,QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials,https://doi.org/10.1088/0953-8984/21/39/395502
7,I1294671590,18917,2,Building better batteries,https://doi.org/10.1038/451652a
8,I1294671590,18230,6,New Algorithms and Methods to Estimate Maximum-Likelihood Phylogenies: Assessing the Performance of PhyML 3.0,https://doi.org/10.1093/sysbio/syq010
9,I1294671590,17074,10,Scalable molecular dynamics with NAMD,https://doi.org/10.1002/jcc.20289
10,I1294671590,16774,33,Measurements of Ω and Λ from 42 High‐Redshift Supernovae,https://doi.org/10.1086/307221
11,I19820366,23003,29,A pneumonia outbreak associated with a new coronavirus of probable bat origin,https://doi.org/10.1038/s41586-020-2012-7
12,I19820366,22490,14,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",https://doi.org/10.1016/s0140-6736(20)30211-7
13,I19820366,21603,100,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",https://doi.org/10.1038/s41587-019-0209-9
14,I19820366,12445,35,Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding,https://doi.org/10.1016/s0140-6736(20)30251-8
15,I19820366,12106,5,Squeeze-and-Excitation Networks,https://doi.org/10.1109/tpami.2019.2913372
16,I27837315,62557,2,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,https://doi.org/10.1177/002224378101800104
17,I27837315,60284,1,"Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology",https://doi.org/10.2307/249008
18,I27837315,59626,2,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,https://doi.org/10.2307/3151312
19,I27837315,45825,9,Going deeper with convolutions,https://doi.org/10.1109/cvpr.2015.7298594
20,I27837315,39098,12,ImageNet Large Scale Visual Recognition Challenge,https://doi.org/10.1007/s11263-015-0816-y
21,I136199984,79703,26,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,https://doi.org/10.1136/bmj.n71
22,I136199984,49018,3,Maximum Likelihood from Incomplete Data Via the <i>EM</i> Algorithm,https://doi.org/10.1111/j.2517-6161.1977.tb01600.x
23,I136199984,40156,7,limma powers differential expression analyses for RNA-sequencing and microarray studies,https://doi.org/10.1093/nar/gkv007
24,I136199984,38291,2,Meta-analysis in clinical trials,https://doi.org/10.1016/0197-2456(86)90046-2
25,I136199984,30056,12,Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathol,https://doi.org/10.1038/gim.2015.30
