indicatorId,geoUnit,year,value,qualifier,magnitude
GGR.6T7.M,ABW,2001,1.600000023841858,,
GGR.6T7.M,ABW,2002,2.204410076141357,UIS_EST,
GGR.6T7.M,ABW,2003,0.8196700215339661,,
GGR.6T7.M,ABW,2004,1.479920029640198,,
GGR.6T7.M,ABW,2005,0.9881399869918823,,
GGR.6T7.M,ABW,2006,2.348340034484863,,
GGR.6T7.M,ABW,2007,5.100180149078369,,
GGR.6T7.M,ABW,2008,3.368789911270142,,
GGR.6T7.M,ABW,2009,1.125699996948242,,
GGR.6T7.M,ABW,2010,2.536230087280273,,
GGR.6T7.M,ABW,2011,6.091370105743408,,
GGR.6T7.M,ABW,2012,6.320909976959229,,
GGR.6T7.M,ABW,2014,6.270100116729736,,
GGR.6T7.M,AFG,2018,14.7568998336792,,
GGR.6T7.M,AFG,2020,15.9432897567749,,
GGR.6T7.M,AGO,2023,5.029069900512695,,
GGR.6T7.M,AIA,2003,0,,NIL
GGR.6T7.M,AIA,2007,0,,NIL
GGR.6T7.M,AIMS: Asia and the Pacific,2004,17.91317939758301,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2005,17.89464950561523,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2006,18.52098083496094,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2007,19.40018081665039,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2008,19.83542060852051,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2009,19.69895935058594,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2010,19.77755928039551,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2011,20.11532974243164,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2012,20.64720916748047,UIS_EST,
GGR.6T7.M,AIMS: Asia and the Pacific,2013,21.05460929870605,,
GGR.6T7.M,AIMS: Asia and the Pacific,2014,21.66830062866211,,
GGR.6T7.M,AIMS: Asia and the Pacific,2015,23.61492919921875,,
GGR.6T7.M,AIMS: Asia and the Pacific,2016,24.61631011962891,,
GGR.6T7.M,AIMS: Asia and the Pacific,2017,24.38677978515625,,
GGR.6T7.M,AIMS: Asia and the Pacific,2018,24.34296035766602,,
GGR.6T7.M,AIMS: Asia and the Pacific,2019,23.82988929748535,,
GGR.6T7.M,AIMS: Asia and the Pacific,2020,25.46796035766602,,
GGR.6T7.M,AIMS: Asia and the Pacific,2021,24.60955047607422,,
GGR.6T7.M,AIMS: Asia and the Pacific,2022,26.7164306640625,,
GGR.6T7.M,AIMS: Asia and the Pacific,2023,27.38260078430176,,
GGR.6T7.M,AIMS: Asia and the Pacific,2024,28.74402046203613,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2000,10.9963903427124,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2001,12.31241989135742,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2002,13.04374027252197,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2003,13.65762996673584,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2004,17.26205062866211,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2005,16.21200942993164,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2006,18.88647079467773,,
GGR.6T7.M,AIMS: Central Asia,2007,19.0381908416748,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2008,21.15619087219238,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2009,21.70310974121094,,
GGR.6T7.M,AIMS: Central Asia,2010,21.16061019897461,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2011,21.30287933349609,UIS_EST,
GGR.6T7.M,AIMS: Central Asia,2012,19.97105026245117,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2004,12.21564960479736,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2005,12.40487957000732,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2006,12.99771976470947,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2007,14.79201984405518,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2008,15.4348201751709,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2009,15.21290016174316,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2010,15.27029037475586,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2011,15.57378005981445,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2012,16.50888061523438,UIS_EST,
GGR.6T7.M,AIMS: East Asia,2013,16.69261932373047,,
GGR.6T7.M,AIMS: East Asia,2014,21.22845077514648,,
GGR.6T7.M,AIMS: East Asia,2015,23.45708084106445,,
GGR.6T7.M,AIMS: East Asia,2016,24.71253967285156,,
GGR.6T7.M,AIMS: East Asia,2017,25.70751953125,,
GGR.6T7.M,AIMS: East Asia,2018,26.16982078552246,,
GGR.6T7.M,AIMS: East Asia,2019,26.04425048828125,,
GGR.6T7.M,AIMS: East Asia,2020,27.06587028503418,,
GGR.6T7.M,AIMS: East Asia,2021,29.23671913146973,,
GGR.6T7.M,AIMS: East Asia,2022,31.06492042541504,,
GGR.6T7.M,AIMS: East Asia,2023,32.50489044189453,,
GGR.6T7.M,AIMS: East Asia,2024,35.81214141845703,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2004,12.49015998840332,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2005,12.69474029541016,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2006,13.30091953277588,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2007,15.05805969238281,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2008,15.68616008758545,UIS_EST,
GGR.6T7.M,AIMS: East Asia and the Pacific,2009,15.4730396270752,UIS_EST,
