,"(DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD) Distribution of enrolled students, new entrants and graduates by field of education",,,,,,,,,,,,,,,
,(EDUCATION_LEV) Education level: (ISCED11_5T8) Tertiary education,,,,,,,,,,,,,,,
,(MEASURE) Measure: (GRAD) Graduates,,,,,,,,,,,,,,,
,(INST_TYPE_EDU) Type of educational institution: (INST_EDU) All educational institutions,,,,,,,,,,,,,,,
,(TIME_PERIOD) Time period: (2022) 2022,,,,,,,,,,,,,,,
,(COMBINED_UNIT_MEASURE) Combined unit of measure: (PT_ST) Percentage of students,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,(EDUCATION_FIELD) Field of education,(EDUCATION_FIELD) Field of education,(F00) Generic programmes and qualifications,(F01) Education (broad field level),(F02) Arts and humanities,"(F03) Social sciences, journalism and information","(F04) Business, administration and law","(F05) Natural sciences, mathematics and statistics",(F06) Information and Communication Technologies (ICTs) (broad field level),"(F07) Engineering, manufacturing and construction","(F08) Agriculture, forestry, fisheries and veterinary",(F09) Health and welfare (broad field level),(F10) Services (broad field level),"(F05T07) Science, technology, engineering and mathematics",(_TX_U) Total (excluding unknown),
,(REF_AREA) Reference area,,,,,,,,,,,,,,,
,(AUS) Australia,,0.00,8.85,9.06,5.79,34.80,4.77,6.16,8.22,0.86,20.04,1.44,19.15,100.00,
,(AUT) Austria,,0.00,11.66,7.06,7.39,23.72,6.00,5.27,19.82,1.43,10.47,7.19,31.08,100.00,
,(BEL) Belgium,,0.00,8.77,8.73,10.75,22.72,4.08,2.98,11.75,1.96,26.80,1.47,18.82,100.00,
,(CAN) Canada,,1.09,5.14,7.77,10.65,26.19,8.23,6.19,12.06,1.05,15.50,6.14,26.47,100.00,
,(CHL) Chile,,0.00,12.44,3.31,5.09,26.09,1.95,3.19,16.25,2.03,23.80,5.85,21.38,100.00,
,(COL) Colombia,,0.01,8.58,3.05,10.10,42.21,1.94,3.70,17.70,1.97,6.10,4.64,23.35,100.00,
,(CRI) Costa Rica,,0.00,26.13,2.88,5.30,36.29,2.49,5.49,7.79,1.34,10.49,1.79,15.78,100.00,
,(CZE) Czechia,,0.17,13.68,8.62,10.32,19.17,6.43,5.48,12.99,3.10,13.53,6.52,24.90,100.00,
,(DNK) Denmark,,0.00,5.50,9.65,9.88,25.78,5.75,5.55,12.93,1.16,20.67,3.14,24.23,100.00,
,(EST) Estonia,,0.00,8.78,13.27,7.47,22.44,6.06,9.59,11.89,1.47,13.58,5.46,27.53,100.00,
,(FIN) Finland,,0.00,6.80,9.60,6.59,19.93,4.60,8.05,16.75,1.97,21.18,4.53,29.40,100.00,
,(FRA) France,,0.00,4.06,8.67,7.12,31.23,12.67,4.06,13.81,1.49,13.18,3.72,30.54,100.00,
,(DEU) Germany,,0.00,10.03,9.14,6.95,25.08,7.93,5.48,22.53,1.69,7.91,3.26,35.94,100.00,
,(GRC) Greece,,0.00,7.55,10.21,16.05,21.24,8.16,3.63,14.40,3.31,11.89,3.55,26.19,100.00,
,(HUN) Hungary,,0.00,13.10,8.29,11.54,25.67,3.69,6.82,13.69,3.44,8.83,4.93,24.20,100.00,
,(ISL) Iceland,,0.00,19.13,8.01,16.56,19.83,4.76,4.02,8.10,0.75,15.77,3.07,16.87,100.00,
,(IRL) Ireland,,0.76,8.38,9.97,6.52,25.63,7.93,8.32,9.99,1.27,17.69,3.54,26.24,100.00,
